Permutation,TrainDur,Subject,BestLambda,SpecAccuracy,GenAccuracy
1,600,13,2.15443469003188,0.0530222730975987,0.0388883473335469
1,600,14,100000,0.0126423460044042,0.0301229572431681
1,600,15,0.1,0.000893429830212725,0.0126286361020635
1,600,16,0.1,0.00941108748250721,0.0133742663963032
1,600,17,0.1,0.0107004107190234,0.00554210627816551
1,600,18,0.1,0.00698443436380524,0.0152385343487424
1,600,19,100000,0.0146925408743205,0.0237380040040083
1,900,1,10,0.0209424941624139,0.0176568670052784
1,900,2,10,0.00761973920946195,0.00857507543299474
1,900,3,10,0.0437406656054196,0.0281098501882096
1,900,4,0.1,0.0220749664560089,-0.00257321223579741
1,900,5,215.443469003188,0.0241724791455085,0.0319442009435234
1,900,6,2.15443469003188,0.0444708269264317,0.0366994740035815
1,900,7,10,0.0178042058900089,0.0125533753759374
1,900,8,46.4158883361278,0.01136866671362,0.0341534455826257
1,900,9,100000,0.0191163925829876,0.0171955232620964
1,900,10,10,0.0364694351082679,0.0247630789158234
1,900,11,100000,0.00448876802118303,0.0138452376165184
1,900,12,215.443469003188,0.0372560702556325,0.023295066096603
1,900,13,2.15443469003188,0.049773619952531,0.0391384859481164
1,900,14,100000,0.0153986534532972,0.0196227703838853
1,900,15,0.1,0.00901384840154424,0.0295115298153858
1,900,16,10,0.0269143646864724,0.000676280687163347
1,900,17,10,0.0242624796874637,0.0124455422005543
1,900,18,100000,0.00130258093369778,0.0190102099951878
1,900,19,2.15443469003188,0.025270429489313,0.0272125430246728
1,1200,1,10,0.01938849611185,0.0172230887617175
1,1200,2,10,0.0109521638388539,0.00876462326733932
1,1200,3,10,0.0463404307158662,0.0312799039460755
1,1200,4,0.1,0.0172964032277488,-0.00249941620434164
1,1200,5,215.443469003188,0.0291675113838256,0.0339757056529216
1,1200,6,2.15443469003188,0.039385183492644,0.0376867669293157
1,1200,7,215.443469003188,0.0195831727538106,0.0153657190128449
1,1200,8,46.4158883361278,0.013501257485469,0.0344200144673692
1,1200,9,100000,0.0147455974691316,0.0148335178430748
1,1200,10,10,0.038626208319224,0.027092926924152
1,1200,11,0.1,0.00586542894165621,0.0163653364814423
1,1200,12,46.4158883361278,0.0342663891383549,0.0217960992420953
1,1200,13,10,0.0428943501448446,0.0362976915527025
1,1200,14,100000,0.0152993051045781,0.0218704313479909
1,1200,15,10,0.011654320689677,0.0290847617989714
1,1200,16,10,0.0233379368537671,0.00355609492173238
1,1200,17,10,0.0222194664051188,0.0144095612190879
1,1200,18,100000,0.00680959410190017,0.016065608281944
1,1200,19,2.15443469003188,0.0247477012576418,0.029834388655434
1,1500,1,0.1,0.0192559133892731,0.0166751187061863
1,1500,2,10,0.00908777422699461,0.00939633911735028
1,1500,3,10,0.0473882046939963,0.0322454043899997
1,1500,4,0.1,0.0201104423637035,-0.00404640606992251
1,1500,5,46.4158883361278,0.0319481208841641,0.0339762932974764
1,1500,6,10,0.0397961618579254,0.0381787315324201
1,1500,7,46.4158883361278,0.0182982083171239,0.0170043766235597
1,1500,8,46.4158883361278,0.020158697744091,0.0338065761516679
1,1500,9,100000,0.0216875927386502,0.01438793428307
1,1500,10,10,0.0380556916478949,0.0264526501514175
1,1500,11,0.1,0.00376851506549977,0.0166618169056224
1,1500,12,10,0.0310254102693219,0.0207364903628177
1,1500,13,10,0.0487691668320737,0.0385143347625105
1,1500,14,100000,0.0167045921651887,0.022075645454621
1,1500,15,10,0.0118653202326902,0.0280379502592822
1,1500,16,10,0.0194978851854071,0.00252985411420471
1,1500,17,2.15443469003188,0.0157244862368222,0.0150444250813394
1,1500,18,100000,0.0065703082425743,0.0162301191721853
1,1500,19,10,0.024913397426239,0.031260421640991
1,1800,1,100000,0.0225620994528514,0.0158635341866997
1,1800,2,10,0.0101985861233237,0.00920053711809726
1,1800,3,10,0.0459505830903785,0.0291829139310507
1,1800,4,0.1,0.0195943221946177,-0.00274744397677446
1,1800,5,46.4158883361278,0.0326306549675333,0.0349194677992038
1,1800,6,10,0.0406193736839191,0.0406363858389779
1,1800,7,46.4158883361278,0.018480619060115,0.0170745750255893
1,1800,8,10,0.0246804114839172,0.0328029051055235
1,1800,9,100000,0.0201849086640811,0.0164090710794719
1,1800,10,10,0.0386895757133016,0.0252830617721978
1,1800,11,100000,0.0215129754439834,0.0164327046130859
1,1800,12,0.464158883361278,0.0390326616186175,0.0217805284964112
1,1800,13,10,0.0495015289420594,0.0407517981208859
1,1800,14,100000,0.0171332610007701,0.0223576779330501
1,1800,15,10,0.0143453932927202,0.0314105993935706
1,1800,16,2.15443469003188,0.0193600551611577,0.000867716951536154
1,1800,17,215.443469003188,0.0201703912073125,0.0159101706404514
1,1800,18,100000,0.00263004678766382,0.0162379104542012
1,1800,19,46.4158883361278,0.0237255637398874,0.031947953344252
1,2100,1,215.443469003188,0.023422479909971,0.0150063479309012
1,2100,2,10,0.0136650596919661,0.0128893334106422
1,2100,3,2.15443469003188,0.0456153449952791,0.0306070597323631
1,2100,4,100000,0.0167239884726694,-0.00296847693376403
1,2100,5,46.4158883361278,0.0308185587979959,0.0331646884208964
1,2100,6,10,0.0400218602407601,0.0382578967530362
1,2100,7,100000,0.0169629964565203,0.0177730051198753
1,2100,8,10,0.0283178219475025,0.0310494413673928
1,2100,9,100000,0.0170527602065281,0.0168694072906296
1,2100,10,10,0.0376881464522652,0.0282952596606013
1,2100,11,100000,0.0234760214170739,0.0172323374317756
1,2100,12,0.464158883361278,0.0406918370637085,0.0212065715189773
1,2100,13,10,0.0512336934344506,0.0430750194614284
1,2100,14,46.4158883361278,0.0196111615131508,0.0216240914612187
1,2100,15,10,0.00729510700608832,0.0276597120795668
1,2100,16,10,0.0245885465301052,0.000748370293141395
1,2100,17,100000,0.0179686782933985,0.0137159359039693
1,2100,18,215.443469003188,0.00896969230691764,0.0176244049386035
1,2100,19,46.4158883361278,0.0268473417335662,0.0323675069303045
2,30,1,215.443469003188,0.0135819063603334,0.0121364994350667
2,30,2,0.1,0.000979010537774337,-0.00782970687823118
2,30,3,0.1,-0.00372979234233965,0.0272193746924829
2,30,4,2.15443469003188,0.00246717291355409,-0.0016530227373347
2,30,5,46.4158883361278,-0.000474446167108483,0.0024759767169686
2,30,6,0.1,-0.00179325180965443,0.0172193452837011
2,30,7,100000,-0.0024530570419537,0.00173479629235648
2,30,8,10,0.0074115893491219,0.00993396730943394
2,30,9,10,-0.00244916403290744,0.0107133471514831
2,30,10,100000,0.00650730194166214,0.0212216485299296
2,30,11,100000,-0.0196174667993027,-0.00651933865708493
2,30,12,0.1,0.00923248760269479,0.00390006144190553
2,30,13,100000,0.0128004951957337,0.0145741985265989
2,30,14,0.1,0.009744249473948,0.00352672018130471
2,30,15,0.1,0.00638428489844997,-0.0142506813119494
2,30,16,100000,0.00791984556290595,0.00492494290553332
2,30,17,0.1,0.0127578145976592,-0.00504498497580788
2,30,18,100000,0.0119140744695447,0.0119738904780795
2,30,19,0.1,0.00320598319748987,-8.56602956155939e-05
2,60,1,10,0.0119495350790634,0.0189621193594651
2,60,2,0.1,-0.00356992716177632,-0.00399183839006438
2,60,3,0.1,-0.000306443427149279,0.0187170380529791
2,60,4,10,0.00970076296851149,0.00717496929159366
2,60,5,10,0.000652559335658225,0.00564488567224444
2,60,6,46.4158883361278,-0.000158398688777127,0.0130982771820181
2,60,7,0.1,-0.0169095977214344,0.00530860270355671
2,60,8,10,0.00865310783166688,0.010408393487546
2,60,9,10,0.0217629012636262,0.0161586641315499
2,60,10,100000,0.0205516678949991,0.0115797946451025
