Permutation,TrainDur,Subject,BestLambda,SpecAccuracy,GenAccuracy
1,300,10,2.15443469003188,0.0377965890093041,0.0293742165236888
1,300,11,2.15443469003188,-0.00267341041890618,0.0102023301251015
1,300,12,0.1,0.0151948087031153,0.0258683583956559
1,300,13,0.464158883361278,0.0289789470416488,0.0256539879072561
1,300,14,0.464158883361278,0.0283424780502918,0.0230967932183633
1,300,15,0.1,0.00177282252464995,0.016607910317636
1,300,16,10,0.00375838804681188,0.0294623675511647
1,300,17,0.464158883361278,0.0107924616358501,0.0101535547045365
1,300,18,0.464158883361278,0.0063775954634383,0.0135762080832006
1,300,19,0.464158883361278,0.0175326647428315,0.0275778307390631
1,600,1,46.4158883361278,0.0306224894179298,0.01542826748885
1,600,2,0.464158883361278,0.00717411040199457,0.00803821786319802
1,600,3,0.1,0.0364320158499234,0.0283792183564501
1,600,4,0.1,0.0208334205823195,-0.00317589377215132
1,600,5,2.15443469003188,0.0366755607947261,0.0406630770909614
1,600,6,0.464158883361278,0.0519025144826749,0.0368553968304704
1,600,7,46.4158883361278,0.0238245341455261,0.0313978993081239
1,600,8,10,0.0436030384447874,0.037763084480469
1,600,9,100000,0.00887835810124318,0.00405153559941118
1,600,10,46.4158883361278,0.0507410250967042,0.0386000480229351
1,600,11,10,-0.00295642642733213,0.0110586794725154
1,600,12,0.464158883361278,0.0194484641636651,0.0249435639992391
1,600,13,0.464158883361278,0.0311674548716978,0.0253527093302829
1,600,14,10,0.0269111952208428,0.0279530557158184
1,600,15,2.15443469003188,0.00658998864668576,0.017253311094825
1,600,16,2.15443469003188,0.0113825228052954,0.0277002827848804
1,600,17,2.15443469003188,0.0159989325714742,0.00927431543762734
1,600,18,46.4158883361278,0.00874665235920519,0.0163376942611261
1,600,19,10,0.0262806157463617,0.0303986264284539
1,900,1,46.4158883361278,0.0347588314671484,0.018864478713971
1,900,2,0.1,0.00434428162211954,0.00841633274791174
1,900,3,0.464158883361278,0.0381261043292833,0.0252844369159974
1,900,4,0.1,0.0198704197048205,-0.000734488428257028
1,900,5,10,0.0406045382801175,0.0416556273826487
1,900,6,100000,0.0500412494008222,0.0331290426503317
1,900,7,46.4158883361278,0.0255144347185641,0.0299658262641506
1,900,8,10,0.0445500743512616,0.0366363443485792
1,900,9,100000,0.00926414748678456,0.004897107942878
1,900,10,46.4158883361278,0.0516921529092063,0.0370450578279493
1,900,11,2.15443469003188,0.000548457049670262,0.0124432947516245
1,900,12,0.1,0.0260048318442568,0.0219307425793089
1,900,13,0.464158883361278,0.0320027380059981,0.0237516293320213
1,900,14,10,0.0315496819277762,0.0259459749647125
1,900,15,2.15443469003188,0.0109467287986392,0.0144170519688891
1,900,16,0.464158883361278,0.0160545462515026,0.0250837349358069
1,900,17,10,0.0203547606217926,0.0074712260747454
1,900,18,46.4158883361278,0.0124512529691075,0.013753457627159
1,900,19,10,0.0292964685090857,0.0315286027287832
1,1200,1,46.4158883361278,0.037423069033291,0.0162764839976733
1,1200,2,2.15443469003188,0.00488056234265034,0.00807176479972249
1,1200,3,0.464158883361278,0.0398795256170216,0.025827331235271
1,1200,4,100000,0.0197395809471969,-0.00323278505463908
1,1200,5,46.4158883361278,0.0423487305747892,0.0417712232677851
1,1200,6,100000,0.046782524828725,0.0352917082703738
1,1200,7,100000,0.0219615002065382,0.0311212055327959
1,1200,8,10,0.0438011167131833,0.0353990965554967
1,1200,9,100000,0.00889624102981878,0.00483998625522822
1,1200,10,215.443469003188,0.0523431357927104,0.0359115882562089
1,1200,11,2.15443469003188,0.00521638050938472,0.0127781432627572
1,1200,12,2.15443469003188,0.0247735837653686,0.0239656534777672
1,1200,13,0.464158883361278,0.034143138746141,0.0254277176406466
1,1200,14,2.15443469003188,0.0337170658088675,0.0286080512346282
1,1200,15,2.15443469003188,0.0108456356645127,0.0147307869768832
1,1200,16,0.1,0.0192855693328459,0.0285108003382349
1,1200,17,215.443469003188,0.0203218478636531,0.00805080470624191
1,1200,18,10,0.0139483752105281,0.0134175530434132
1,1200,19,10,0.0281333991332621,0.0320072749851973
1,1500,1,46.4158883361278,0.0389053623510871,0.0164236757587209
1,1500,2,2.15443469003188,0.00770800744937517,0.00834246930465605
1,1500,3,0.1,0.0402911252241034,0.026640910226616
1,1500,4,100000,0.0223013212749593,-0.00295098826682939
1,1500,5,46.4158883361278,0.0440460283004273,0.0426106861406425
1,1500,6,100000,0.0498138371907612,0.0355559952347041
1,1500,7,1000,0.022945135570467,0.0311047885466753
1,1500,8,2.15443469003188,0.0439050387501897,0.036056695574889
1,1500,9,100000,0.0139136366718484,0.00492456219474645
1,1500,10,100000,0.0527474376525545,0.0368231500936324
1,1500,11,2.15443469003188,0.00940950054571465,0.0126920865627256
1,1500,12,0.464158883361278,0.0245895101002307,0.0236994758551491
1,1500,13,0.464158883361278,0.0330723486527629,0.0261564334435688
1,1500,14,10,0.0326923299703622,0.0296960400168232
1,1500,15,2.15443469003188,0.0121632341334568,0.0142477841127129
1,1500,16,0.1,0.01708410022529,0.0273088176415531
1,1500,17,46.4158883361278,0.0194464209108604,0.00666456135731499
1,1500,18,10,0.0142435913556922,0.0139722953786661
1,1500,19,10,0.0317728966235778,0.0318630958927907
1,1800,1,46.4158883361278,0.0391748207342026,0.0159022475146926
1,1800,2,2.15443469003188,0.00787086430462638,0.00811149145510208
1,1800,3,2.15443469003188,0.0409330035180954,0.0266415113077629
1,1800,4,100000,0.0223799862898502,-0.00222438690259035
1,1800,5,46.4158883361278,0.0455954823942636,0.0421585946460847
1,1800,6,100000,0.0482886210715421,0.0379964954362005
1,1800,7,100000,0.026150761388801,0.0319385463127677
1,1800,8,2.15443469003188,0.0437912144143439,0.03553006876493
